type,brand,model,cores,base_clock,boost_clock,tdp,integrated_graphics,multithreading,price,cpu_socket,cpu_socket_source
CPU,AMD,2650,2,1450000000,,25,Radeon HD 8240,False,59.61,,missing_model
CPU,AMD,3850,4,1300000000,,25,Radeon HD 8280,False,79.59,,missing_model
CPU,AMD,5150,4,1600000000,,25,Radeon HD 8400,False,0.0,,missing_model
CPU,AMD,5350,4,2049999999,,25,Radeon HD 8400,False,104.94,,missing_model
CPU,AMD,5350,4,2049999999,,25,Radeon HD 8400,False,0.0,,missing_model
CPU,AMD,A10-5700,4,3400000000,,65,Radeon HD 7660D,False,0.0,,wikidata_no_qid
CPU,AMD,A10-5800K,4,3800000000,,100,Radeon HD 7660D,False,0.0,,wikidata_no_qid
CPU,AMD,A10-6700,4,3700000000,,65,Radeon HD 8670D,False,0.0,,wikidata_no_qid
CPU,AMD,A10-6700T,4,2500000000,3500000000.0,45,Radeon HD 8650D,False,0.0,,wikidata_no_qid
CPU,AMD,A10-6790B,4,4000000000,,100,Radeon HD 8670D,False,0.0,,wikidata_no_qid
CPU,AMD,A10-6790K,4,4000000000,4300000000.0,100,Radeon HD 8670D,False,0.0,,wikidata_no_qid
CPU,AMD,A10-6800B,4,4099999999,4400000000.0,100,Radeon HD 8670D,False,0.0,,wikidata_no_qid
CPU,AMD,A10-6800K,4,4099999999,,100,Radeon HD 8670D,False,0.0,,wikidata_no_qid
CPU,AMD,A10-7700K,4,3400000000,3800000000.0,95,Radeon R7 (on-die),False,547.8,,wikidata_no_qid
CPU,AMD,A10-7700K,4,3400000000,3800000000.0,95,Radeon R7 (on-die),False,0.0,,wikidata_no_qid
CPU,AMD,A10-7800,4,3500000000,3900000000.0,65,Radeon R7 (on-die),False,0.0,,wikidata_no_qid
CPU,AMD,A10-7850K,4,3700000000,4000000000.0,95,Radeon R7 (on-die),False,273.83,,wikidata_no_qid
CPU,AMD,A10-7850K,4,3700000000,4000000000.0,95,Radeon R7 (on-die),False,0.0,,wikidata_no_qid
CPU,AMD,A10-7860k,4,3600000000,4000000000.0,65,Radeon R7 (on-die),False,0.0,,wikidata_no_qid
CPU,AMD,A10-7870K,4,3900000000,4099999999.0,95,Radeon R7 (on-die),False,0.0,,wikidata_no_qid
CPU,AMD,A10-7890K,4,4099999999,4300000000.0,95,Radeon R7 (on-die),False,0.0,,wikidata_no_qid
CPU,AMD,A10-9700,4,3500000000,3800000000.0,65,Radeon R7 (on-die),False,242.87,,wikidata_no_qid
CPU,AMD,A10-9700E,4,3000000000,3500000000.0,35,Radeon R7 (on-die),False,292.98,,wikidata_no_qid
CPU,AMD,A12-9800,4,3800000000,4200000000.0,65,Radeon R7 (on-die),False,0.0,,wikidata_no_qid
CPU,AMD,A12-9800E,4,3100000000,3800000000.0,35,Radeon R7 (on-die),False,177.45,,wikidata_no_qid
CPU,AMD,A4-3300,2,2500000000,,65,Radeon HD 6410D,False,0.0,,wikidata_no_qid
CPU,AMD,A4-3300,2,2500000000,,65,Radeon HD 6410D,False,85.0,,wikidata_no_qid
CPU,AMD,A4-3400,2,2700000000,,65,Radeon HD 6410D,False,149.94,,wikidata_no_qid
CPU,AMD,A4-3400,2,2700000000,,65,Radeon HD 6410D,False,0.0,,wikidata_no_qid
CPU,AMD,A4-3420,2,2800000000,,65,Radeon HD 6410D,False,0.0,,wikidata_no_qid
CPU,AMD,A4-3450,2,2900000000,,65,,False,0.0,,wikidata_no_qid
CPU,AMD,A4-4000,2,3000000000,,65,Radeon HD 7480D,False,0.0,,wikidata_no_qid
CPU,AMD,A4-4000,2,3000000000,,65,Radeon HD 7480D,False,139.84,,wikidata_no_qid
CPU,AMD,A4-4020,2,3200000000,3400000000.0,65,Radeon HD 7480D,False,0.0,,wikidata_no_qid
CPU,AMD,A4-5300,2,3400000000,,65,Radeon HD 7480D,False,0.0,,wikidata_no_qid
CPU,AMD,A4-5300,2,3400000000,,65,Radeon HD 7480D,False,93.74,,wikidata_no_qid
CPU,AMD,A4-6300,2,3700000000,3900000000.0,65,Radeon HD 8370D,False,0.0,,wikidata_no_qid
CPU,AMD,A4-6300B,2,3700000000,3900000000.0,65,Radeon HD 8370D,False,0.0,,wikidata_no_qid
CPU,AMD,A4-6320,2,3800000000,4000000000.0,65,Radeon HD 8370D,False,0.0,,wikidata_no_qid
CPU,AMD,A4-7300,2,3800000000,4000000000.0,65,Radeon HD 8470D,False,135.0,,wikidata_no_qid
CPU,AMD,A6-3500,3,2100000000,,65,Radeon HD 6530D,False,0.0,,wikidata_no_qid
CPU,AMD,A6-3650,4,2600000000,,100,Radeon HD 6530D,False,0.0,,wikidata_no_qid
CPU,AMD,A6-3670K,4,2700000000,,100,Radeon HD 6530D,False,0.0,,wikidata_no_qid
CPU,AMD,A6-5400K,2,3600000000,,65,Radeon HD 7540D,False,124.74,,wikidata_no_qid
CPU,AMD,A6-6400K,2,3900000000,,65,Radeon HD 8470D,False,0.0,,wikidata_no_qid
CPU,AMD,A6-6420K,2,4000000000,4200000000.0,65,Radeon HD 8000 Series,False,0.0,,wikidata_no_qid
CPU,AMD,A6-7400K,2,3500000000,3900000000.0,65,Radeon R5 (on die),False,0.0,,wikidata_no_qid
CPU,AMD,A6-7470K,2,3700000000,4000000000.0,65,Radeon R5 (on die),False,0.0,,wikidata_no_qid
CPU,AMD,A6-7470K,2,3700000000,4000000000.0,65,Radeon R5 (on die),False,105.27,,wikidata_no_qid
