type,brand,model,chipset,vram,core_clock,boost_clock,color,length,price
GPU,AMD,100-505724,FirePro W7100,8000000000,824000000.0,,Black / Red,279.0,387.98
GPU,AMD,100-505841,FirePro 2450,500000000,600000000.0,,Black / Red,170.0,98.99
GPU,AMD,100-505956,Radeon Pro WX 8200,8000000000,1200000000.0,1530000000.0,Blue,267.0,967.17
GPU,AMD,100-505957,Radeon Pro WX 9100,16000000000,1200000000.0,1500000000.0,Blue,267.0,1509.0
GPU,AMD,100-505989,FirePro W9100,32000000000,930000000.0,,Black / Red,275.0,0.0
GPU,AMD,100-505999,Radeon Pro WX 3100,4000000000,925000000.0,1219000000.0,Blue,145.0,163.98
GPU,AMD,100-506001,Radeon Pro WX 2100,2000000000,925000000.0,1219000000.0,Blue,145.0,129.99
GPU,AMD,100-506048,Radeon Pro Duo Polaris,32000000000,1243000000.0,,Blue,305.0,2619.0
GPU,AMD,100-506061,Vega Frontier Edition,16000000000,1440000000.0,1600000000.0,Blue / Gold,267.0,0.0
GPU,AMD,100-506062,Vega Frontier Edition Liquid,16000000000,1500000000.0,1600000000.0,Gold / Blue,267.0,1699.89
GPU,AMD,100-506085,Radeon Pro W5700,8000000000,1243000000.0,1930000000.0,Blue / Silver,267.0,798.99
GPU,AMD,100-506095,Radeon Pro W5500,8000000000,1354000000.0,1900000000.0,Blue / White,241.3,399.0
GPU,AMD,100-506115,Radeon Pro WX 3200,4000000000,1250000000.0,1290000000.0,Blue / Black,167.64,184.99
GPU,AMD,100-506163,Radeon Pro VII,16000000000,1400000000.0,1700000000.0,Blue / Silver,305.0,1899.0
GPU,AMD,310455937500,Radeon HD 6770,1000000000,,,,,0.0
GPU,AMD,FirePro 2270,FirePro 2270,1000000000,600000000.0,,Black / Red,170.0,0.0
GPU,AMD,FirePro 2270,FirePro 2270,500000000,600000000.0,,Black / Red,170.0,98.99
GPU,AMD,FirePro 2270,FirePro 2270,500000000,600000000.0,,Black / Red,170.0,0.0
GPU,AMD,FirePro 2450,FirePro 2450,500000000,600000000.0,,Black / Red,170.0,98.99
GPU,AMD,FirePro 2460,FirePro 2460,500000000,,,Black / Red,,129.97
GPU,AMD,FirePro 2460,FirePro 2460,500000000,600000000.0,,Black / Red,170.0,0.0
GPU,AMD,FirePro R5000,FirePro R5000,2000000000,825000000.0,,Black / Red,279.0,0.0
GPU,AMD,FirePro RG220A,FirePro RG220A,500000000,500000000.0,,Black / Red,168.0,0.0
GPU,AMD,FirePro S7000,FirePro S7000,4000000000,950000000.0,,Black / Silver,292.0,1218.5
GPU,AMD,FirePro S9050,FirePro S9050,12000000000,900000000.0,,Black / Silver,254.0,0.0
GPU,AMD,FirePro S9150,FirePro S9150,16000000000,900000000.0,,Black / White,267.0,0.0
GPU,AMD,FirePro V3900,FirePro V3900,1000000000,650000000.0,,Black / Red,168.0,65.54
GPU,AMD,FirePro V4900,FirePro V4900,1000000000,800000000.0,,Black / Red,163.0,0.0
GPU,AMD,FirePro V5800,FirePro V5800,1000000000,700000000.0,,Black / Red,229.0,0.0
GPU,AMD,FirePro V5900,FirePro V5900,2000000000,600000000.0,,Black / Red,230.0,0.0
