type,brand,model,socket,form_factor,ram_slots,max_ram,color,price,mb_ddr,mb_ddr_source
Motherboard,ASRock,760GM-GS3,AM3,Micro ATX,2,8000000000,Black / Blue,0.0,Unknown,insufficient_info
Motherboard,ASRock,760GM-HDV,AM3+/AM3,Micro ATX,2,32000000000,Black / Blue,74.01,Unknown,insufficient_info
Motherboard,ASRock,770 Extreme3,AM3,ATX,4,16000000000,Black / White,0.0,Unknown,insufficient_info
Motherboard,ASRock,770iCafe,AM3+/AM3,ATX,4,16000000000,Black / Blue,0.0,Unknown,insufficient_info
Motherboard,ASRock,870 Extreme3,AM3,ATX,4,16000000000,Black / Blue,0.0,Unknown,insufficient_info
Motherboard,ASRock,870 Extreme3 R2.0,AM3+,ATX,4,32000000000,Black / Blue,0.0,Unknown,insufficient_info
Motherboard,ASRock,870iCafe R2.0,AM3+,ATX,4,32000000000,Black / Blue,0.0,Unknown,insufficient_info
Motherboard,ASRock,880G Extreme3,AM3,ATX,4,16000000000,Black / Blue,0.0,Unknown,insufficient_info
Motherboard,ASRock,880G Pro3,AM3,ATX,4,32000000000,Black / Blue,0.0,Unknown,insufficient_info
Motherboard,ASRock,880GM-LE,AM3,Micro ATX,2,8000000000,Black / Blue,0.0,Unknown,insufficient_info
Motherboard,ASRock,880GM-LE FX,AM3+,Micro ATX,2,8000000000,Black / Blue,0.0,Unknown,insufficient_info
Motherboard,ASRock,880GMH/U3S3,AM3+,Micro ATX,4,32000000000,Black / Blue,0.0,Unknown,insufficient_info
Motherboard,ASRock,880GMH/USB3,AM3,Micro ATX,4,16000000000,Black / Blue,0.0,Unknown,insufficient_info
Motherboard,ASRock,880GMH/USB3 R2.0,AM3,Micro ATX,4,16000000000,,0.0,Unknown,insufficient_info
Motherboard,ASRock,880GXH/USB3,AM3,ATX,4,16000000000,Black / Blue,0.0,Unknown,insufficient_info
Motherboard,ASRock,890FX Deluxe3,AM3,ATX,4,16000000000,Black / Blue,0.0,Unknown,insufficient_info
Motherboard,ASRock,890FX Deluxe4,AM3,ATX,4,16000000000,Black / Blue,0.0,Unknown,insufficient_info
Motherboard,ASRock,890FX Deluxe5,AM3+,ATX,4,32000000000,Black / Blue,0.0,Unknown,insufficient_info
Motherboard,ASRock,890GM Pro3,AM3,Micro ATX,4,16000000000,Black / Blue,0.0,Unknown,insufficient_info
Motherboard,ASRock,890GX Extreme3,AM3,ATX,4,16000000000,Black / Blue,0.0,Unknown,insufficient_info
Motherboard,ASRock,890GX Extreme4,AM3,ATX,4,16000000000,Black / Blue,0.0,Unknown,insufficient_info
Motherboard,ASRock,890GX Pro3,AM3,ATX,4,32000000000,,0.0,Unknown,insufficient_info
Motherboard,ASRock,960GM/U3S3 FX,AM3+,Micro ATX,2,16000000000,Black / Blue,0.0,Unknown,insufficient_info
Motherboard,ASRock,970 EXTREME4,AM3+,ATX,4,32000000000,Black / Blue,0.0,Unknown,insufficient_info
Motherboard,ASRock,970 Extreme3,AM3+,ATX,4,32000000000,Black,0.0,Unknown,insufficient_info
Motherboard,ASRock,970 Extreme3 R2.0,AM3+,ATX,4,64000000000,Brown / Black,305.99,Unknown,insufficient_info
Motherboard,ASRock,970 Performance,AM3+,ATX,4,64000000000,Black / Red,0.0,Unknown,insufficient_info
Motherboard,ASRock,970 Pro3,AM3+,ATX,4,32000000000,Brown / Black,0.0,Unknown,insufficient_info
Motherboard,ASRock,970 Pro3 R2.0,AM3+,ATX,4,64000000000,Brown / Black,139.99,Unknown,insufficient_info
Motherboard,ASRock,970A-G/3.1,AM3+/AM3,ATX,4,64000000000,Black / Red,0.0,Unknown,insufficient_info
Motherboard,ASRock,970DE3/U3S3,AM3+,ATX,4,32000000000,Black / Silver,0.0,Unknown,insufficient_info
Motherboard,ASRock,970M PRO3,AM3+/AM3,Micro ATX,4,64000000000,Black,99.99,Unknown,insufficient_info
Motherboard,ASRock,980DE3/U3S3,AM3+,ATX,4,32000000000,,0.0,Unknown,insufficient_info
Motherboard,ASRock,990FX Extreme3,AM3+/AM3,ATX,4,32000000000,Black / Silver,0.0,Unknown,insufficient_info
Motherboard,ASRock,990FX Extreme4,AM3+,ATX,4,32000000000,Black / Blue,0.0,Unknown,insufficient_info
Motherboard,ASRock,990FX Extreme9,AM3+,ATX,4,64000000000,Black / Gold,0.0,Unknown,insufficient_info
Motherboard,ASRock,990FX Killer,AM3+,ATX,4,64000000000,Black / Red,0.0,Unknown,insufficient_info
Motherboard,ASRock,990FX Killer/3.1,AM3+/AM3,ATX,4,64000000000,Black / Red,0.0,Unknown,insufficient_info
Motherboard,ASRock,A320M,AM4,Micro ATX,2,32000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,ASRock,A320M Pro4,AM4,Micro ATX,4,64000000000,Black / White,0.0,DDR4,socket_rule
Motherboard,ASRock,A320M-DGS,AM4,Micro ATX,2,32000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,ASRock,A320M-DVS R4.0,AM4,Micro ATX,2,32000000000,Black / Silver,73.53,DDR4,socket_rule
Motherboard,ASRock,A320M-HDV,AM4,Micro ATX,2,32000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,ASRock,A320M-HDV R3.0,AM4,Micro ATX,2,32000000000,Black,0.0,DDR4,socket_rule
Motherboard,ASRock,A320M-HDV R4.0,AM4,Micro ATX,2,32000000000,Black / White,80.01,DDR4,socket_rule
Motherboard,ASRock,A320M-ITX,AM4,Mini ITX,2,32000000000,Black / Silver,103.99,DDR4,socket_rule
Motherboard,ASRock,A520M Pro4,AM4,Micro ATX,4,128000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,ASRock,A520M-HDV,AM4,Micro ATX,2,64000000000,Black / Silver,60.99,DDR4,socket_rule
Motherboard,ASRock,A520M-HDVP,AM4,Micro ATX,2,64000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,ASRock,A520M-HDVP/DASH,AM4,Micro ATX,2,64000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,ASRock,A520M-HVS,AM4,Micro ATX,2,64000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,ASRock,A520M-ITX/ac,AM4,Mini ITX,2,64000000000,Black / Silver,104.99,DDR4,socket_rule
Motherboard,ASRock,A520M/ac,AM4,Micro ATX,2,64000000000,Black / Silver,159.99,DDR4,socket_rule
Motherboard,ASRock,A55 Pro3,FM1,ATX,4,32000000000,Black / Blue,0.0,Unknown,insufficient_info
Motherboard,ASRock,A55M-HVS,FM1,Micro ATX,2,16000000000,Black / Blue,0.0,Unknown,insufficient_info
Motherboard,ASRock,A55M-VS,FM1,Micro ATX,2,16000000000,Brown / Black,0.0,Unknown,insufficient_info
Motherboard,ASRock,A68M-ITX,FM2+,Mini ITX,2,32000000000,Black / Orange,0.0,Unknown,insufficient_info
Motherboard,ASRock,A75 Extreme6,FM1,ATX,4,32000000000,Black / Blue,0.0,Unknown,insufficient_info
Motherboard,ASRock,A75 Pro4,FM1,ATX,4,32000000000,Black / Blue,0.0,Unknown,insufficient_info
Motherboard,ASRock,A75 Pro4-M,FM1,Micro ATX,4,32000000000,Black / Blue,0.0,Unknown,insufficient_info
Motherboard,ASRock,A75 Pro4/MVP,FM1,ATX,4,32000000000,Brown / Black,0.0,Unknown,insufficient_info
Motherboard,ASRock,A75M,FM1,Micro ATX,2,16000000000,Black / Blue,0.0,Unknown,insufficient_info
Motherboard,ASRock,A75M-HVS,FM1,Micro ATX,2,16000000000,Black / Blue,0.0,Unknown,insufficient_info
Motherboard,ASRock,A75M-ITX,FM1,Mini ITX,2,16000000000,Black / Blue,0.0,Unknown,insufficient_info
Motherboard,ASRock,A770DE+,AM3/AM2+/AM2,ATX,4,16000000000,,0.0,Unknown,insufficient_info
