type,brand,model,form_factor,efficiency_rating,wattage,modular,color,price
PSU,ABS,Majesty,ATX,80+ Gold,1100,Full,,0.0
PSU,ADATA,XPG CORE Reactor,ATX,80+ Gold,850,Full,Black,159.99
PSU,ADATA,XPG CORE Reactor,ATX,80+ Gold,650,Full,Black,129.99
PSU,ADATA,XPG CORE Reactor,ATX,80+ Gold,750,Full,Black,139.99
PSU,Aerocool,AER-P7-P650W,ATX,80+ Platinum,650,Full,,0.0
PSU,Aerocool,GT-1050SG,ATX,80+ Gold,1050,Semi,,0.0
PSU,Aerocool,Integrator,ATX,80+ Bronze,500,No,Black,0.0
PSU,Aerocool,LUX RGB M,ATX,80+ Bronze,750,Semi,Black,0.0
PSU,Aerocool,P7 Platinum,ATX,80+ Platinum,850,Full,Black,0.0
PSU,Aerocool,XPredator GM,ATX,80+ Gold,1000,Semi,Black,1919.61
PSU,Anima,APII500,ATX,,500,No,Black / Green,0.0
PSU,Antec,Basiq,ATX,80+,550,Semi,,0.0
PSU,Antec,Basiq,ATX,,650,No,,0.0
PSU,Antec,Basiq,ATX,,500,No,,0.0
PSU,Antec,Basiq,ATX,,350,No,,99.0
PSU,Antec,Basiq,ATX,80+,430,No,,93.75
PSU,Antec,EDGE,ATX,80+ Gold,750,Full,,0.0
PSU,Antec,EDGE,ATX,80+ Gold,550,Full,,0.0
PSU,Antec,EDGE,ATX,80+ Gold,650,Full,,0.0
PSU,Antec,EarthWatts Platinum,ATX,80+ Platinum,550,No,,0.0
PSU,Antec,EarthWatts Platinum,ATX,80+ Platinum,650,No,,0.0
PSU,Antec,Earthwatts,ATX,80+ Bronze,500,No,,114.98
PSU,Antec,Earthwatts,ATX,80+ Platinum,750,No,,0.0
PSU,Antec,Earthwatts,ATX,80+ Bronze,550,No,,0.0
PSU,Antec,Earthwatts,ATX,80+,750,No,,0.0
PSU,Antec,Earthwatts,ATX,80+ Bronze,500,No,,176.59
PSU,Antec,Earthwatts,ATX,80+ Bronze,650,No,,0.0
PSU,Antec,Earthwatts,ATX,80+ Platinum,450,No,,0.0
PSU,Antec,Earthwatts Gold Pro,ATX,80+ Gold,550,Semi,Black,87.67
PSU,Antec,Earthwatts Gold Pro,ATX,80+ Gold,750,Semi,Black,104.99
PSU,Antec,Earthwatts Gold Pro,ATX,80+ Gold,650,Semi,Black,95.87
PSU,Antec,Earthwatts Green,ATX,80+ Bronze,450,No,,0.0
PSU,Antec,Earthwatts Green,ATX,80+,430,No,,0.0
PSU,Antec,Earthwatts Green,ATX,80+,500,No,,114.73
PSU,Antec,Earthwatts Green,ATX,80+ Bronze,380,No,,0.0
PSU,Antec,Earthwatts Green,ATX,80+ Bronze,350,No,,0.0
PSU,Antec,Earthwatts Green,ATX,80+ Bronze,430,No,,385.0
PSU,Antec,Earthwatts Green,ATX,80+ Bronze,750,No,,0.0
PSU,Antec,High Current Gamer,ATX,80+ Bronze,620,No,,0.0
PSU,Antec,High Current Gamer,ATX,80+ Bronze,900,No,,0.0
PSU,Antec,High Current Gamer,ATX,80+ Bronze,400,No,,0.0
PSU,Antec,High Current Gamer,ATX,80+ Bronze,520,Semi,,0.0
PSU,Antec,High Current Gamer,ATX,80+ Bronze,400,Semi,,180.59
PSU,Antec,High Current Gamer,ATX,80+ Bronze,620,Semi,,0.0
PSU,Antec,High Current Gamer,ATX,80+ Bronze,520,No,,0.0
PSU,Antec,High Current Gamer,ATX,80+ Bronze,850,Semi,,0.0
PSU,Antec,High Current Gamer,ATX,80+ Bronze,750,Semi,,0.0
PSU,Antec,High Current Gamer,ATX,80+ Bronze,850,Full,Black,0.0
PSU,Antec,High Current Gamer,ATX,80+ Bronze,750,No,,325.58
PSU,Antec,High Current Gamer Extreme,ATX,80+ Gold,1000,Full,,0.0
PSU,Antec,High Current Gamer Extreme,ATX,80+ Gold,850,Full,,202.84
PSU,Antec,High Current Gamer Gold,ATX,80+ Gold,850,Full,Black,0.0
PSU,Antec,High Current Gamer Gold,ATX,80+ Gold,750,Full,Black,119.49
PSU,Antec,High Current Gamer Gold,ATX,80+ Gold,650,Full,Black,109.98
PSU,Antec,High Current Pro,ATX,80+ Platinum,750,Full,,0.0
PSU,Antec,High Current Pro,ATX,80+ Gold,850,Semi,,391.59
PSU,Antec,High Current Pro,ATX,80+ Platinum,1000,Full,,0.0
PSU,Antec,High Current Pro,ATX,80+ Platinum,850,Full,,0.0
PSU,Antec,High Current Pro,ATX,80+ Platinum,1300,Full,,0.0
PSU,Antec,High Current Pro,ATX,80+ Gold,750,Semi,,399.59
PSU,Antec,High Current Pro,ATX,80+ Gold,1200,No,,0.0
PSU,Antec,NE450M,ATX,80+ Bronze,450,Semi,,0.0
PSU,Antec,NeoECO,ATX,80+ Bronze,520,No,,0.0
PSU,Antec,NeoECO,ATX,80+ Bronze,620,No,,0.0
PSU,Antec,NeoECO,ATX,80+ Bronze,550,Semi,Black,80.84
PSU,Antec,NeoECO,ATX,80+,400,No,,0.0
PSU,Antec,NeoECO Classic,ATX,80+ Bronze,650,No,Black,69.99
PSU,Antec,NeoECO Classic,ATX,80+ Bronze,550,No,Black,59.99
PSU,Antec,NeoECO Gold,ATX,80+ Gold,650,Semi,Black,105.98
PSU,Antec,NeoECO Gold,ATX,80+ Gold,550,Semi,Black,0.0
PSU,Antec,NeoECO Gold,ATX,80+ Gold,750,Semi,Black,0.0
PSU,Antec,NeoECO Gold ZEN,ATX,80+ Gold,700,No,Black / Gold,0.0
PSU,Antec,NeoECO Gold ZEN,ATX,80+ Gold,500,No,Black / Gold,0.0
PSU,Antec,NeoECO Gold ZEN,ATX,80+ Gold,600,No,Black / Gold,84.99
PSU,Antec,Signature,ATX,80+ Bronze,850,Full,,0.0
PSU,Antec,True Power,ATX,80+ Silver,1200,Semi,,0.0
PSU,Antec,True Power,ATX,80+ Silver,1200,Full,,0.0
PSU,Antec,True Power,ATX,80+ Bronze,650,Full,,0.0
PSU,Antec,True Power,ATX,80+ Gold,650,No,,0.0
PSU,Antec,True Power,ATX,80+ Bronze,750,Semi,,0.0
PSU,Antec,True Power,ATX,80+ Bronze,850,Full,,0.0
PSU,Antec,True Power,ATX,80+ Gold,750,No,,0.0
PSU,Antec,True Power,ATX,80+ Gold,550,No,,0.0
PSU,Antec,True Power,ATX,80+ Bronze,1000,Full,,0.0
PSU,Antec,True Power,ATX,80+ Bronze,550,Full,,0.0
PSU,Antec,True Power,ATX,80+ Bronze,750,Full,,0.0
PSU,Antec,VP,ATX,80+,630,No,,0.0
PSU,Antec,VP,ATX,,500,No,,0.0
PSU,Antec,VP,ATX,80+,550,No,,0.0
PSU,Antec,VP,ATX,,700,No,,0.0
PSU,Antec,VP,ATX,,600,No,,0.0
PSU,Antec,VP,ATX,,350,No,,0.0
PSU,Antec,VP,ATX,,450,No,,0.0
PSU,Antec,VP PLUS,ATX,80+,550,No,,54.99
PSU,Antec,VP PLUS,ATX,80+,500,No,,52.62
PSU,Antec,VP PLUS,ATX,80+,650,No,,84.61
PSU,Antec,VP-P,ATX,,450,No,,0.0
PSU,Apevia,AD,ATX,,500,No,Black,0.0
PSU,Apevia,APEVIA ATX-WR680W 680W ATX12V v2.3 SLI CrossFire Active PFC Power Supply,ATX,,680,Semi,,0.0
PSU,Apevia,AR,ATX,,500,No,Black,0.0
PSU,Apevia,ATX-AQ700W-BK,ATX,,700,No,,0.0
PSU,Apevia,ATX-AS500W-BK,ATX,,500,No,,0.0
PSU,Apevia,ATX-AS500W-BL,ATX,,500,No,,0.0
PSU,Apevia,ATX-AS500W-GN,ATX,,500,No,,0.0
PSU,Apevia,ATX-AS520W-BK,ATX,,520,No,,0.0
PSU,Apevia,ATX-AS600W-BL,ATX,,600,No,,0.0
PSU,Apevia,ATX-AS680W-BK,ATX,,680,No,,0.0
PSU,Apevia,ATX-AS680W-BL,ATX,,680,No,,0.0
PSU,Apevia,ATX-CB600W,ATX,,600,No,,0.0
PSU,Apevia,ATX-CB700W,ATX,,700,No,,0.0
PSU,Apevia,ATX-CW500WP4,ATX,,500,No,,0.0
PSU,Apevia,ATX-IB680W-BL,ATX,,680,No,,0.0
PSU,Apevia,ATX-IB680W-GN,ATX,,680,No,,0.0
PSU,Apevia,ATX-JP1000W,ATX,80+ Bronze,1000,No,,0.0
PSU,Apevia,ATX-JV650W,ATX,,650,No,,0.0
PSU,Apevia,ATX-RP500W,ATX,,500,No,,0.0
PSU,Apevia,ATX-TL450W,ATX,,450,No,,0.0
PSU,Apevia,ATX-TL450W-BK,ATX,,450,No,,0.0
PSU,Apevia,ATX-VN500W,ATX,,500,No,,0.0
PSU,Apevia,ATX-VS450W,ATX,,450,No,,0.0
PSU,Apevia,ATX-WA750W,ATX,,750,No,,0.0
PSU,Apevia,ATX-WA900W,ATX,,900,No,,0.0
PSU,Apevia,Astro,ATX,,500,No,Black,0.0
