type,brand,model,module_type,speed,number_of_modules,module_size,price_per_gb,color,first_word_latency,cas_timing,error_correction,price
Memory,ADATA,AD2S800B2G5-R 2 GB,DDR2,800000000,1,2000000000,10.72,Green,12.5,5,Non-ECC / Unbuffered,21.44
Memory,ADATA,AD2U800B1G5-RHS 1 GB,DDR2,800000000,1,1000000000,0.0,Blue / Silver,12.5,5,Non-ECC / Unbuffered,0.0
Memory,ADATA,AD3S1066B2G7-R 2 GB,DDR3,1066000000,1,2000000000,0.0,Green,13.133,7,Non-ECC / Unbuffered,0.0
Memory,ADATA,AD3S1333B2G9-R 2 GB,DDR3,1333000000,1,2000000000,0.0,Green,13.503,9,Non-ECC / Unbuffered,0.0
Memory,ADATA,AD3U1333B2G9-DRH 4 GB,DDR3,1333000000,2,2000000000,0.0,Blue / Silver,13.503,9,Non-ECC / Unbuffered,0.0
Memory,ADATA,AD3U1333C4G9-2 8 GB,DDR3,1333000000,2,4000000000,0.0,Green,13.503,9,Non-ECC / Unbuffered,0.0
Memory,ADATA,AD3U1600W8G11-R 8 GB,DDR3,1600000000,1,8000000000,0.0,Black / Green,13.75,11,Non-ECC / Unbuffered,0.0
Memory,ADATA,AD4S213338G15-2 16 GB,DDR4,2133000000,2,8000000000,0.0,Green / Black,14.065,15,Non-ECC / Unbuffered,0.0
Memory,ADATA,AD4S2400316G17-2 32 GB,DDR4,2400000000,2,16000000000,0.0,Green / Black,14.167,17,Non-ECC / Unbuffered,0.0
Memory,ADATA,AD4S2400316G17-R 16 GB,DDR4,2400000000,1,16000000000,0.0,Green,14.167,17,Non-ECC / Unbuffered,0.0
Memory,ADATA,AD4S240038G17-2 16 GB,DDR4,2400000000,2,8000000000,0.0,Green,14.167,17,Non-ECC / Unbuffered,0.0
Memory,ADATA,AD4S240038G17-R 8 GB,DDR4,2400000000,1,8000000000,0.0,Green,14.167,17,Non-ECC / Unbuffered,0.0
Memory,ADATA,AD4S2666316G19-D 32 GB,DDR4,2666000000,2,16000000000,0.0,Green / Black,14.254,19,Non-ECC / Unbuffered,0.0
Memory,ADATA,AD4S266638G19-R 8 GB,DDR4,2666000000,1,8000000000,5.999,Green,14.254,19,Non-ECC / Unbuffered,47.99
Memory,ADATA,AD4U2400W4G17-S 4 GB,DDR4,2400000000,1,4000000000,0.0,Green / Black,14.167,17,Non-ECC / Unbuffered,0.0
Memory,ADATA,AD4U266638G19-S 8 GB,DDR4,2666000000,1,8000000000,5.511,Green / Black,14.254,19,Non-ECC / Unbuffered,44.09
Memory,ADATA,ADDS1600W4G11-S 4 GB,DDR3,1600000000,1,4000000000,17.89,Black / Green,13.75,11,Non-ECC / Unbuffered,71.56
Memory,ADATA,AX4U2400316G16-DRG 32 GB,DDR4,2400000000,2,16000000000,0.0,Red / White,13.333,16,Non-ECC / Unbuffered,0.0
Memory,ADATA,AX4U2400W4G16-DRG 8 GB,DDR4,2400000000,2,4000000000,17.672,Red / White,13.333,16,Non-ECC / Unbuffered,141.38
